"","publisher","page_id","name","urlslug","id","align","eye","hair","sex","gsm","alive","appearances","first_appearance","month","year","date"
"20","Marvel",35350,"Robert Drake (Earth-616)","\/Robert_Drake_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",1265,"1963, September","September",1963,1963-09-01
"21","Marvel",1557,"Henry Pym (Earth-616)","\/Henry_Pym_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",1237,"1962, January","January",1962,1962-01-01
"22","Marvel",65255,"Charles Xavier (Earth-616)","\/Charles_Xavier_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Bald","Male Characters",NA,"Deceased Characters",1233,"1963, September","September",1963,1963-09-01
"23","Marvel",1073,"Warren Worthington III (Earth-616)","\/Warren_Worthington_III_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",1230,"1963, September","September",1963,1963-09-01
"24","Marvel",1346,"Piotr Rasputin (Earth-616)","\/Piotr_Rasputin_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",1162,"1975, May","May",1975,1975-05-01
"25","Marvel",2512,"Wanda Maximoff (Earth-616)","\/Wanda_Maximoff_(Earth-616)","Public Identity","Good Characters","Green Eyes","Brown Hair","Female Characters",NA,"Living Characters",1161,"1964, March","March",1964,1964-03-01
"26","Marvel",1671,"Nicholas Fury (Earth-616)","\/Nicholas_Fury_(Earth-616)","No Dual Identity",NA,"Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",1137,"1963, May","May",1963,1963-05-01
"27","Marvel",1976,"Janet van Dyne (Earth-616)","\/Janet_van_Dyne_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Auburn Hair","Female Characters",NA,"Living Characters",1120,"1963, June","June",1963,1963-06-01
"28","Marvel",65219,"Jean Grey (Earth-616)","\/Jean_Grey_(Earth-616)","Public Identity","Good Characters","Green Eyes","Red Hair","Female Characters",NA,"Deceased Characters",1107,"1963, September","September",1963,1963-09-01
"29","Marvel",6545,"Natalia Romanova (Earth-616)","\/Natalia_Romanova_(Earth-616)","Public Identity","Good Characters","Green Eyes","Red Hair","Female Characters","Bisexual Characters","Living Characters",1050,"1964, April","April",1964,1964-04-01
"30","Marvel",2223,"Kurt Wagner (Earth-616)","\/Kurt_Wagner_(Earth-616)","Secret Identity","Good Characters","Yellow Eyes","Blue Hair","Male Characters",NA,"Living Characters",1047,"1975, May","May",1975,1975-05-01
"31","Marvel",2414,"Vision (Earth-616)","\/Vision_(Earth-616)","Secret Identity","Good Characters","Gold Eyes","No Hair","Male Characters",NA,"Living Characters",1007,"1968, October","October",1968,1968-10-01
"32","Marvel",8650,"May Reilly (Earth-616)","\/May_Reilly_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Grey Hair","Female Characters",NA,"Living Characters",1000,"1962, August","August",1962,1962-08-01
"33","Marvel",2527,"Katherine Pryde (Earth-616)","\/Katherine_Pryde_(Earth-616)","Secret Identity","Good Characters","Hazel Eyes","Brown Hair","Female Characters",NA,"Living Characters",886,"1980, January","January",1980,1980-01-01
"34","Marvel",1970,"Carol Danvers (Earth-616)","\/Carol_Danvers_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",881,"1968, March","March",1968,1968-03-01
"35","Marvel",37690,"Jennifer Walters (Earth-616)","\/Jennifer_Walters_(Earth-616)","Public Identity","Good Characters","Green Eyes","Brown Hair","Female Characters",NA,"Living Characters",881,"1980, February","February",1980,1980-02-01
"36","Marvel",3765,"Emma Frost (Earth-616)","\/Emma_Frost_(Earth-616)","Public Identity",NA,"Blue Eyes","Brown Hair","Female Characters",NA,"Living Characters",880,"1980, January","January",1980,1980-01-01
"37","Marvel",2312,"Frank Castle (Earth-616)","\/Frank_Castle_(Earth-616)","Public Identity",NA,"Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",878,"1974, February","February",1974,1974-02-01
"38","Marvel",1265,"Luke Cage (Earth-616)","\/Luke_Cage_(Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",NA,"Living Characters",856,"1972, June","June",1972,1972-06-01
"39","Marvel",1677,"Rogue (Anna Marie) (Earth-616)","\/Rogue_(Anna_Marie)_(Earth-616)","Secret Identity","Good Characters","Green Eyes","Auburn Hair","Female Characters",NA,"Living Characters",850,"NA, NA",NA,NA,NA
"40","Marvel",25222,"Conan (Earth-616)","\/Conan_(Earth-616)","No Dual Identity",NA,"Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",787,"1970, October","October",1970,1970-10-01
"41","Marvel",6537,"Joseph Robertson (Earth-616)","\/Joseph_Robertson_(Earth-616)","No Dual Identity","Good Characters","Brown Eyes","White Hair","Male Characters",NA,"Living Characters",752,"1967, August","August",1967,1967-08-01
"42","Marvel",1592,"Pietro Maximoff (Earth-616)","\/Pietro_Maximoff_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Silver Hair","Male Characters",NA,"Living Characters",740,"1964, March","March",1964,1964-03-01
"43","Marvel",1818,"Hercules (Earth-616)","\/Hercules_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters","Bisexual Characters","Living Characters",725,"1965, October","October",1965,1965-10-01
"44","Marvel",1448,"Victor von Doom (Earth-616)","\/Victor_von_Doom_(Earth-616)","Public Identity","Bad Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",721,"1962, July","July",1962,1962-07-01
"45","Marvel",2081,"Max Eisenhardt (Earth-616)","\/Max_Eisenhardt_(Earth-616)","Public Identity",NA,"Grey Eyes","Bald","Male Characters",NA,"Living Characters",709,"1963, September","September",1963,1963-09-01
"46","Marvel",2307,"Elizabeth Braddock (Earth-616)","\/Elizabeth_Braddock_(Earth-616)","Secret Identity",NA,"Blue Eyes","Purple Hair","Female Characters","Bisexual Characters","Living Characters",708,"1976, December","December",1976,1976-12-01
"47","Marvel",2556,"Norrin Radd (Earth-616)","\/Norrin_Radd_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Bald","Male Characters",NA,"Living Characters",696,"1966, March","March",1966,1966-03-01
"48","Marvel",1740,"Norman Osborn (Earth-616)","\/Norman_Osborn_(Earth-616)","Public Identity","Bad Characters","Blue Eyes","Auburn Hair","Male Characters",NA,"Living Characters",692,"1964, July","July",1964,1964-07-01
"49","Marvel",8651,"Eugene Thompson (Earth-616)","\/Eugene_Thompson_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Strawberry Blond Hair","Male Characters",NA,"Living Characters",689,"1962, August","August",1962,1962-08-01
"50","Marvel",2009,"Simon Williams (Earth-616)","\/Simon_Williams_(Earth-616)","Public Identity","Good Characters","Red Eyes","Grey Hair","Male Characters",NA,"Living Characters",686,"1964, October","October",1964,1964-10-01
"51","Marvel",1276,"Samuel Guthrie (Earth-616)","\/Samuel_Guthrie_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",657,"1982, November","November",1982,1982-11-01
"52","Marvel",15823,"James Buchanan Barnes (Earth-616)","\/James_Buchanan_Barnes_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",641,"1941, March","March",1941,1941-03-01
"53","Marvel",1680,"Remy LeBeau (Earth-616)","\/Remy_LeBeau_(Earth-616)","Secret Identity","Good Characters","Black Eyeballs","Brown Hair","Male Characters",NA,"Living Characters",636,"1990, July","July",1990,1990-07-01
"54","Marvel",1866,"Daniel Rand (Earth-616)","\/Daniel_Rand_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",618,"1974, May","May",1974,1974-05-01
"55","Marvel",32498,"Nathan Summers (Earth-616)","\/Nathan_Summers_(Earth-616)","Public Identity",NA,"Blue Eyes","White Hair","Male Characters",NA,"Living Characters",612,"1986, January","January",1986,1986-01-01
"56","Marvel",1772,"Elizabeth Brant (Earth-616)","\/Elizabeth_Brant_(Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Brown Hair","Female Characters",NA,"Living Characters",599,"1963, September","September",1963,1963-09-01
"57","Marvel",1896,"Richard Jones (Earth-616)","\/Richard_Jones_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",590,"1962, May","May",1962,1962-05-01
"58","Marvel",1496,"Edwin Jarvis (Earth-616)","\/Edwin_Jarvis_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","White Hair","Male Characters",NA,"Living Characters",567,"1964, November","November",1964,1964-11-01
"59","Marvel",1802,"Alexander Summers (Earth-616)","\/Alexander_Summers_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",558,"1969, March","March",1969,1969-03-01
"60","Marvel",1811,"Patricia Walker (Earth-616)","\/Patricia_Walker_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Red Hair","Female Characters",NA,"Living Characters",550,"1944, November","November",1944,1944-11-01
"61","Marvel",1836,"Human Torch (Android) (Earth-616)","\/Human_Torch_(Android)_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",548,"1939, October","October",1939,1939-10-01
"62","Marvel",2042,"Loki Laufeyson (Earth-616)","\/Loki_Laufeyson_(Earth-616)","No Dual Identity",NA,"Green Eyes","Black Hair","Genderfluid Characters","Bisexual Characters","Living Characters",532,"1949, August","August",1949,1949-08-01
"63","Marvel",1643,"Franklin Nelson (Earth-616)","\/Franklin_Nelson_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Bald","Male Characters",NA,"Living Characters",528,"1964, April","April",1964,1964-04-01
"64","Marvel",1285,"Brian Braddock (Earth-616)","\/Brian_Braddock_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",528,"1976, October","October",1976,1976-10-01
"65","Marvel",1453,"Otto Octavius (Earth-616)","\/Otto_Octavius_(Earth-616)","Secret Identity",NA,"Hazel Eyes","Brown Hair","Male Characters",NA,"Deceased Characters",526,"1963, July","July",1963,1963-07-01
"66","Marvel",6194,"James Rhodes (Earth-616)","\/James_Rhodes_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",525,"1979, January","January",1979,1979-01-01
"67","Marvel",1487,"Timothy Dugan (Earth-616)","\/Timothy_Dugan_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Red Hair","Male Characters",NA,"Deceased Characters",517,"1963, May","May",1963,1963-05-01
"68","Marvel",1380,"Crystalia Amaquelin (Earth-616)","\/Crystalia_Amaquelin_(Earth-616)","Public Identity","Good Characters","Green Eyes","Strawberry Blond Hair","Female Characters",NA,"Living Characters",512,"1965, December","December",1965,1965-12-01
"69","Marvel",1613,"Samuel Wilson (Earth-616)","\/Samuel_Wilson_(Earth-616)","Public Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",NA,"Living Characters",512,"1969, September","September",1969,1969-09-01
"70","Marvel",1931,"Wilson Fisk (Earth-616)","\/Wilson_Fisk_(Earth-616)","Public Identity","Bad Characters","Blue Eyes","Bald","Male Characters",NA,"Living Characters",503,"1967, July","July",1967,1967-07-01
"71","Marvel",1596,"Odin Borson (Earth-616)","\/Odin_Borson_(Earth-616)","Public Identity",NA,"Blue Eyes","White Hair","Male Characters",NA,"Living Characters",502,"1962, October","October",1962,1962-10-01
"72","Marvel",1409,"Deadpool (Wade Wilson)","\/Deadpool_(Wade_Wilson)","Secret Identity",NA,"Brown Eyes","Bald","Male Characters","Transvestites","Living Characters",500,"1991, February","February",1991,1991-02-01
"73","Marvel",1187,"Dane Whitman (Earth-616)","\/Dane_Whitman_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",478,"1967, December","December",1967,1967-12-01
"74","Marvel",1741,"Harold Osborn (Earth-616)","\/Harold_Osborn_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",NA,"Living Characters",474,"1965, December","December",1965,1965-12-01
"75","Marvel",68416,"Franklin Richards (Earth-616)","\/Franklin_Richards_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",473,"1968, November","November",1968,1968-11-01
"76","Marvel",2589,"Jessica Drew (Earth-616)","\/Jessica_Drew_(Earth-616)","Secret Identity","Good Characters","Green Eyes","Auburn Hair","Female Characters",NA,"Living Characters",471,"1977, February","February",1977,1977-02-01
"77","Marvel",2626,"Roberto da Costa (Earth-616)","\/Roberto_da_Costa_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",NA,"Living Characters",464,"1982, November","November",1982,1982-11-01
"78","Marvel",2007,"Rahne Sinclair (Earth-616)","\/Rahne_Sinclair_(Earth-616)","Secret Identity","Good Characters","Green Eyes","Red Hair","Female Characters",NA,"Living Characters",448,"1982, November","November",1982,1982-11-01
"79","Marvel",1130,"Elizabeth Ross (Earth-616)","\/Elizabeth_Ross_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Black Hair","Female Characters",NA,"Living Characters",446,"1962, May","May",1962,1962-05-01
"80","Marvel",2278,"Lorna Dane (Earth-616)","\/Lorna_Dane_(Earth-616)","Secret Identity","Good Characters","Green Eyes","Green Hair","Female Characters",NA,"Living Characters",433,"1968, October","October",1968,1968-10-01
"81","Marvel",67048,"Blaine Colt (Earth-616)","\/Blaine_Colt_(Earth-616)","Public Identity",NA,"Blue Eyes","Blond Hair","Male Characters",NA,"Deceased Characters",429,"NA, NA",NA,NA,NA
"82","Marvel",1705,"Johnathon Blaze (Earth-616)","\/Johnathon_Blaze_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Reddish Blond Hair","Male Characters",NA,"Living Characters",426,"1972, August","August",1972,1972-08-01
"83","Marvel",2550,"Sif (Earth-616)","\/Sif_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Black Hair","Female Characters",NA,"Living Characters",422,"1964, March","March",1964,1964-03-01
"84","Marvel",2365,"Red Hulk (Thaddeus Ross)","\/Red_Hulk_(Thaddeus_Ross)","Public Identity",NA,"Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",415,"1962, May","May",1962,1962-05-01
"85","Marvel",1900,"Jubilation Lee (Earth-616)","\/Jubilation_Lee_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",NA,"Living Characters",408,"1989, May","May",1989,1989-05-01
"86","Marvel",2420,"Volstagg (Earth-616)","\/Volstagg_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Red Hair","Male Characters",NA,"Living Characters",406,"1965, August","August",1965,1965-08-01
"87","Marvel",1127,"Balder Odinson (Earth-616)","\/Balder_Odinson_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Brown Hair","Male Characters",NA,"Deceased Characters",403,"1962, October","October",1962,1962-10-01
"88","Marvel",1676,"Galactus (Earth-616)","\/Galactus_(Earth-616)","Secret Identity",NA,"Brown Eyes","No Hair","Male Characters",NA,"Living Characters",390,"1966, March","March",1966,1966-03-01
"89","Marvel",1395,"Danielle Moonstar (Earth-616)","\/Danielle_Moonstar_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",NA,"Living Characters",388,"1982, November","November",1982,1982-11-01
"90","Marvel",2183,"Marc Spector (Earth-616)","\/Marc_Spector_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",387,"1975, August","August",1975,1975-08-01
"91","Marvel",1782,"Gwendolyne Stacy (Earth-616)","\/Gwendolyne_Stacy_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Deceased Characters",384,"1965, December","December",1965,1965-12-01
"92","Marvel",2137,"Medusalith Amaquelin (Earth-616)","\/Medusalith_Amaquelin_(Earth-616)","Public Identity","Good Characters","Green Eyes","Red Hair","Female Characters",NA,"Living Characters",382,"1965, March","March",1965,1965-03-01
"93","Marvel",2374,"Sabretooth (Victor Creed)","\/Sabretooth_(Victor_Creed)","Secret Identity","Bad Characters","Amber Eyes","Blond Hair","Male Characters",NA,"Living Characters",382,"1977, August","August",1977,1977-08-01
"94","Marvel",2077,"Illyana Rasputina (Earth-616)","\/Illyana_Rasputina_(Earth-616)","Secret Identity",NA,"Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",380,"1975, May","May",1975,1975-05-01
"95","Marvel",2344,"Johann Shmidt (Earth-616)","\/Johann_Shmidt_(Earth-616)","Public Identity","Bad Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Deceased Characters",376,"1941, August","August",1941,1941-08-01
"96","Marvel",1616,"Fandral (Earth-616)","\/Fandral_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Deceased Characters",375,"1965, August","August",1965,1965-08-01
"97","Marvel",1131,"Sean Cassidy (Earth-616)","\/Sean_Cassidy_(Earth-616)","Secret Identity",NA,"Green Eyes","Strawberry Blond Hair","Male Characters",NA,"Living Characters",374,"1967, January","January",1967,1967-01-01
"98","Marvel",2487,"Thomas Raymond (Earth-616)","\/Thomas_Raymond_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",373,"1940, September","September",1940,1940-09-01
"99","Marvel",1572,"Uatu (Earth-616)","\/Uatu_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Bald","Male Characters",NA,"Deceased Characters",373,"1963, April","April",1963,1963-04-01
"100","Marvel",2239,"Richard Rider (Earth-616)","\/Richard_Rider_(Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Deceased Characters",373,"1976, September","September",1976,1976-09-01
"101","Marvel",1827,"Hogun (Earth-616)","\/Hogun_(Earth-616)","Public Identity","Good Characters","Grey Eyes","Black Hair","Male Characters",NA,"Living Characters",371,"1965, August","August",1965,1965-08-01
"102","Marvel",55878,"Raven Darkholme (Earth-616)","\/Raven_Darkholme_(Earth-616)","Secret Identity","Bad Characters","Yellow Eyes","Red Hair","Female Characters","Bisexual Characters","Living Characters",371,"1978, April","April",1978,1978-04-01
"103","Marvel",2173,"Barbara Morse (Earth-616)","\/Barbara_Morse_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",368,"1971, June","June",1971,1971-06-01
"104","Marvel",1179,"Blackagar Boltagon (Earth-616)","\/Blackagar_Boltagon_(Earth-616)","No Dual Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",NA,"Living Characters",366,"1965, December","December",1965,1965-12-01
"105","Marvel",2392,"Brunnhilde (Earth-616)","\/Brunnhilde_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",361,"1970, December","December",1970,1970-12-01
"106","Marvel",1404,"Alison Blaire (Earth-616)","\/Alison_Blaire_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Strawberry Blond Hair","Female Characters",NA,"Living Characters",353,"1980, February","February",1980,1980-02-01
"107","Marvel",18186,"Venom (Symbiote) (Earth-616)","\/Venom_(Symbiote)_(Earth-616)","Known to Authorities Identity",NA,"Variable Eyes","No Hair","Agender Characters",NA,"Living Characters",348,"1984, May","May",1984,1984-05-01
"108","Marvel",1586,"John Walker (Earth-616)","\/John_Walker_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",NA,"Living Characters",346,"1986, November","November",1986,1986-11-01
"109","Marvel",2440,"Greer Grant (Earth-616)","\/Greer_Grant_(Earth-616)","Public Identity","Good Characters","Green Eyes","Black Hair","Female Characters",NA,"Living Characters",342,"1972, November","November",1972,1972-11-01
"110","Marvel",2185,"Karla Sofen (Earth-616)","\/Karla_Sofen_(Earth-616)","Public Identity",NA,"Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",340,"1975, December","December",1975,1975-12-01
"111","Marvel",2382,"William Baker (Earth-616)","\/William_Baker_(Earth-616)","Secret Identity",NA,"Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",338,"1963, September","September",1963,1963-09-01
"112","Marvel",1300,"Sharon Carter (Earth-616)","\/Sharon_Carter_(Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",332,"1966, March","March",1966,1966-03-01
"113","Marvel",1180,"Felicia Hardy (Earth-616)","\/Felicia_Hardy_(Earth-616)","Public Identity","Bad Characters",NA,"Blond Hair","Female Characters",NA,"Living Characters",332,"1979, July","July",1979,1979-07-01
"114","Marvel",1901,"Cain Marko (Earth-616)","\/Cain_Marko_(Earth-616)","Public Identity",NA,"Blue Eyes","Red Hair","Male Characters",NA,"Living Characters",329,"1965, July","July",1965,1965-07-01
"115","Marvel",37751,"Monica Rambeau (Earth-616)","\/Monica_Rambeau_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",NA,"Living Characters",327,"NA, NA",NA,NA,NA
"116","Marvel",20978,"Maria Hill (Earth-616)","\/Maria_Hill_(Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Black Hair","Female Characters",NA,"Living Characters",325,"2005, April","April",2005,2005-04-01
"117","Marvel",1161,"Ben Urich (Earth-616)","\/Ben_Urich_(Earth-616)","No Dual Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",NA,"Living Characters",324,"1978, July","July",1978,1978-07-01
"118","Marvel",2182,"Heather Douglas (Earth-616)","\/Heather_Douglas_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Bald","Female Characters","Bisexual Characters","Living Characters",323,"1973, January","January",1973,1973-01-01
"119","Marvel",100209,"Millicent Collins (Earth-616)","\/Millicent_Collins_(Earth-616)","Public Identity",NA,"Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",321,"1945, December","December",1945,1945-12-01
"120","Marvel",1973,"James Proudstar (Earth-616)","\/James_Proudstar_(Earth-616)","Secret Identity","Good Characters","Brown Eyes","Black Hair","Male Characters",NA,"Living Characters",320,"1984, June","June",1984,1984-06-01
"121","Marvel",1633,"Angelica Jones (Earth-616)","\/Angelica_Jones_(Earth-616)","Known to Authorities Identity","Good Characters","Green Eyes","Red Hair","Female Characters",NA,"Living Characters",319,"1985, May","May",1985,1985-05-01
"122","Marvel",11857,"Edward Brock (Earth-616)","\/Edward_Brock_(Earth-616)","Public Identity",NA,"Black Eyes","Blond Hair","Male Characters",NA,"Living Characters",318,"1986, September","September",1986,1986-09-01
"123","Marvel",2513,"MacDonald Gargan (Earth-616)","\/MacDonald_Gargan_(Earth-616)","Secret Identity","Bad Characters","Brown Eyes","Bald","Male Characters",NA,"Living Characters",317,"1964, December","December",1964,1964-12-01
"124","Marvel",2146,"Mephisto (Earth-616)","\/Mephisto_(Earth-616)","No Dual Identity","Bad Characters","White Eyes","Black Hair","Male Characters",NA,"Living Characters",316,"1968, December","December",1968,1968-12-01
"125","Marvel",7630,"Tabitha Smith (Earth-616)","\/Tabitha_Smith_(Earth-616)","Secret Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",NA,"Living Characters",316,"1985, November","November",1985,1985-11-01
